University;Name;Brief overview;Industry;Overview of innovation;Technology benefits;Technology applications;Technology readiness level (TRL)
Wits;A Sample Extraction Device;A point of care user friendly device to salvage DNA;Healthcare;The CREDO (CartRidge Extractor DiagnOsis) Device is a device designed to safely and sterilely remove fluid remaining after assay completion from used cartridges (this used cartridge would otherwise be discarded). This fluid can be useful for downstream applications (these downstream tests could be any molecular or diagnostic method) without having to go back to patients for additional specimens and, potentially, without the needed for further fluid clean-up (as the cartridge has already partly extracted material from cells).;"Reduce Sample collection: Reduce the need for additional specimen collection for downstream testing for patients

Aseptic Extraction: The extraction device assembly enables the aseptic extraction of samples 

Simple to use: It has a simple mechanical design 

Cost effective: This device is not expensive to manufacture";"Healthcare Diagnostics:

Molecular Diagnostic Laboratories: The device can be used in laboratories for the extraction and analysis of nucleic acid samples from cartridges, such as GeneXpert nucleic acid amplification cartridges, which are commonly used in diagnosing infectious diseases like tuberculosis, COVID-19, and other viral infections.
Point-of-Care Testing: The portability and ease of use make it suitable for point-of-care settings, enabling rapid and accurate diagnostic testing outside traditional laboratory environments, such as in remote or resource-limited settings.
Research and Development:

Genomic Research: Researchers can use the device to extract DNA/RNA from samples for genomic studies, including sequencing, genotyping, and other molecular biology applications.
Clinical Trials: The device can facilitate the collection and analysis of nucleic acid samples from clinical trial participants, aiding in the development of new diagnostic tests and treatments.
Pharmaceutical Industry:

Drug Development: Pharmaceutical companies can use the device to monitor the presence of specific nucleic acids in biological samples during the drug development process, including pharmacogenomic studies.";7
Wits;PCL Knee Brace;Knee brace with a dynamic force mechanism forthe treatment and rehabilitation of posterior cruciate ligament (PCL) injuries;Healthcare;"Researchers at UCT in partnership with a knee specialist in private practice, have developed a novel PCL brace for the treatment of PCL injuries. The brace
was designed to provide a dynamic tension function of the posterior cruciate ligament (PCL) over the knee’s range of motion.
The designed brace uses a physical method of tensioning a cable while still using the calf cup technology. The tensioning method is that of a non-circular
pulley, also called a lobe, which changes the cable tension as a function of the knee’s flexion. This lobe on either side of the knee pull onto the cable causing a
reduction in effective length and pushing the calf cup forwards. The UCT PCL knee brace utilises a lobe design so as to increase the load that the brace applies
to the posterior side of the calf over the knee joints flexion range. The lobe was created with a surface that follows an involute profile, designed to force the
tibia forwards, alleviating pressure on the PCL. This method means that the PCL receives the forces required at its flexion levels current stress. There is
therefore no over-stressing of the joint at lower flexion ranges. This provides a stable long-lasting solution to the stress placed on the PCL.
The involute profile of the lobe can be developed to patient specific rehabilitation plans. The number of the lobes also means that multiple shapes can be
applied to get higher or lower medial and/or lateral forces applied to the posterior of the tibia, possibly allowing for rehabilitation of other ligament injuries.";"The novel UCT brace provides a technology which:
Provides a cost effective mechanism to introduce a dynamic force to assist and improve with PCL recovery
Could shorten the recovery times of PCL injuries and as a result reduce the treatment expenses
Allows for easy customisation of the patient specific forces required for optimal recovery through the novel tensioning/force mechanism ‑the
lobes/non‑circular pulleys. These lobes can easily be swapped in the braces throughout the recovery period if needed.
Allow for potential integration into other braces.";"Applications can include:
Stand alone PCL knee brace with dynamic tensioning mechanism
Integrate the tensioning mechanism into current knee braces";4
Wits;Device to Treat Sleep Apnoea;An implantable device that advances the sufferer's tongue to address obstructive sleep apnoea;Healthcare;"The University of Cape Town’s solution to treat OSA is a device that is implanted below the tongue with one end fixed to the chin bone and the other to the
base of the tongue.
The device acts as a scaffold for the growth of a biological tendon from the patient’s own stem cells. The bio‑sorbable material is eventually replaced by a
tendon, that is strong enough to hold the base of the patient’s tongue in the advanced position.
The resulting gain in air flow in upper airway, provided by the new tendon would replace the need for positive pressure to be delivered to the patient’s airway
during sleep or other invasive surgical procedures such as splinting the tongue or reducing the length of the tongue with radiation and laser surgery.
The inventors have demonstrated:
proof of principle that advancing the patient’s tongue overcome sleep apnoea
functionality of the device in a prototype
growth of the biological ligament and bio‑sorption of the device over time in animal trials. The trials were conducted in sheep and the biological tendons
harvested and had a strength of 70N. The picture above depicts a cross‑section of the biological tendon demonstrating the replacement of the delivery
vehicle and the vascularization of the grown biological tendon
the surgical implant procedure was proven to be simple and effective in the sheep trials
More data and pictures of the tendon and results can be shared with a follow‑up.";"The benefits of the UCT sleep apnoea device are the following:
the base of the apnoea sufferer’s tongue is advanced sufficiently to open the airways and overcome the obstruction experienced during OSA
removes the patient’s dependence on air passage management technologies to assist the patient to breathe
the patient’s quality of life improves as the advanced airway facilitates the oxygenation of the bloodstream; preventing the co‑morbidities associated
with OSA
the biological tendon is grown from the patient’s own tissue and becomes a permanent feature within the patient’s anatomy. The tensile strength of the
sheep tendon was measured at 70N
the materials are readily available and can be packaged as a kit that could be supplied to surgeons";"The technology is intended as:
Treatment for the permanent alleviation of severe OSA
As a less invasive single surgical intervention for the treatment of OSA
OSA is treated by a variety of health professionals including Ear Nose and Throat specialists, Maxillo‑facial surgeons and Pulmonologists.
The solution is envisioned as a kit with the active components pre-packaged and ready for implant into a patient.";4
Wits;Wooden Pole Condition Sensor;Cost effective condition monitoring technology for wooden poles;Construction;"Researchers at UCT developed a pole condition sensing technology which measures the state of health of wooden utility poles. The technology was
developed to be cost effective, easy to install and to actively provide information concerning the state of the pole via a communication interface. The UCT
technology aims to perform the following:
1. Measure pole attitude and altitude: Detect if the pole has fallen over or fallen vertically
2. Measure vibration signature: Detect changes in the vibration signature between nearby poles indicating changes in pole condition or local events such
as motor vehicle accidents, broken/cut conductors. Detect wind speed (can be used with temperature to change the load limit dynamically) and detect
changes in mechanical pole resonance at given wind speed if the pole fails at the ground contact
3. Measure magnetic field: Detect anomalous changes in magnetic field indicating a potential fallen conductor or current tee-off. Detect failures in
geometry or current by comparing relative changes in magnetic field between poles.
4. Measure temperature: Sense environment temperature and fires under the line Communicate field data to server or substation via low power IoT
wireless network
5. Report per-pole condition using low power BlueTooth 5 (or similar) to a central server for safety tripping decisions, operator action, or planned
maintenance decisions.
The technology is currently at a TRL6 with prototypes being tested in representative environments i.e. tested in an electrical distribution network.";"The UCT technology provides a cost effective and easy to install IoT device with innovative processing algorithms to extract the information form low cost
sensors. The system was designed to integrate into existing pole management infrastructure, or act as a stand alone system. The technology aim to provide
the following benefits:
reduce general maintenance costs for the network by replacing labour intensive practises with automated functions
reduce the risk of pole failures and as a result, critical network failures, by acting as an early warning mechanism
reduce the risk for environmental impact due from line and pole failures
improve response time when responding to pole failure or issues by better localising the point of the failure";"The technology is suitable to the following applications:
Active and more automated condition monitoring system or pole integrity monitoring system for wooden pole distribution systems
UCT technology can easily be added to an existing pole condition or maintenance system to reduce labour and/or add additional insights of the
infrastructure
UCT technology can further assist with fault finding through better localisation of potential faults, or theft incidents.";6
Wits;"Software-enabled Image Correction Shimming Tool for MRI
Scanners";"Software for correcting main magnetic field drift in MRI scanners through improved shimming techniques, improving image
quality.";Healthcare;"This innovation is in the form of software that runs on an MRI machine which estimates and corrects for main magnetic field drift by using a double volumetric
sequencer navigator to measure and adjust shim over selected regions in a “slab-by-slab” fashion.
A 3D navigator pulse is interleaved in the scanning sequence after the acquisition of each volume. A second navigator is introduced, with a different echo time
to the first, before the next volume is acquired. The two corresponding navigator images are obtained and a magnetic field map is determined via complex
division of the images. This magnetic field map is then used to determine the parameters required to adjust the system central frequency of the MRI scanner
to compensate for drift.
The method ultimately improves the quality of images produced by imaging scanners such as MRI’s.
The technology has been jointly developed by the University of Cape Town and the Massachusetts General Hospital (MGH) in the United States. The patents
are co‑owned.";"No hardware requirement‑innovation is simply uploaded as software onto existing MRI shim correction devices / integrated into the pulse sequence
Useful particularly to smaller, cheaper MRI scanners where cheaper magnetic coils are used, or applications where “software tricks” allow for cost
advantage over competitors
Measure, report and correct for all changes in magnetic field throughout an MRI scan
Improved image quality
Ability of the double volumetric navigator sequence to measure and adjust shim over selected regions in a ‘slab-by-slab’ or ‘slice-by-slice’ fashion
Integratable into any MRI pulse sequence, including functional MRI (fMRI) and diffusion tensor imaging (DTI)
Higher order shims can be implemented if the hardware of the particular MRI scanner permits this";"Hospitals, medical practices, MRI instrument manufacturers and veterinary practices that require accurate images in order to investigate the anatomy or
physiology of a human or animal body.
Applicable particularly to smaller, cheaper MRI scanners where cheaper magnetic coils are used, or applications where “software tricks” allow for cost
advantage over competitors";5
UP;In- and Outdoor IMU System;AI-enabled, time-synchronized IMU array to measure inertia and position.;Sports, other;"Our invention consists of an array of IMU sensors that are synchronized with one another. The IMU sensors measure inertia and position of the subject within
a space. The IMUs’ output is their collective measurement of inertia and forces, generating big data. The data serves as input into a personalized kinematic
model for the test subject. The kinematic model can estimate the Ground Reaction Forces (GRFs) and a torque profile of the test subject around a specific
sensor or in relation to one another.
There is no limit to the number of sensors that can be used on a test subject or on multiple test subjects of locations.
Our sensors are 5 centimeters in diameter, 10 millimeters thick and independently powered. The sensors synchronize with one another wirelessly, and the
user can use as many as needed to on the test subject‑ animate or inanimate.";"The system can measure the subject outdoors.
The accuracy of our sensor is below one centimetre.
Our sensor’s sampling rate is 2kHz.
The sensors are time-synchronized with an independent clock.
A single, or cluster of sensors, communicates with a base station unit wirelessly. The connection range between the sensors and bases station can be within 10
kilometres.
The system is also capable of dynamic, continuous calibration which removes position drifting on the sensor. This feature removes the need for the subject to
remain still to re-calibrate.
There are no visual markers and can be used independently of a visualization system as an option.";"One application of the technology could be in sports or biomechanics where the system can be used to estimate joint kinematics and give physicians insights
into performance, impact of an injury, tracking recovery and even the prevention of injury; while the test subject is training outdoors. The sensors can be
placed on athletes at various joints and muscles to give insight into the force and motion experienced in their bodies together with other force and motion
information.
Another application of the technology is to track the movement of swarming drones, autonomous vehicles or any body moving in synchronization with
another.";6
UP;Performance Optimizer for PV Panel Installations;Cost-effective means forrapidly monitoring performance of PV solar panels during operation.;Energy;The technology is a low-cost platform for capturing the impedance spectrum of a PV module or string within a very short period of time (compared to conventional impedance analyzers). The impedance spectrum is correlated with PV performance and a variety of online fault conditions can be characterized. The technology consists of measuring the electrical impedance response of an optimized and unique superimposed multisine broadband signal injected into the PV panel or string. The signal is capable of spanning a very large frequency range of between 100 Hz – 500 kHz with a very low crest factor, for characterizing various PV cells/modules. The superimposition of waveforms allows rich information of the cell condition to become more rapidly available when compared to conventional EIS. This is due to the fact that signals of different frequencies are injected simultaneously, making the impedance spectrum available much sooner. With the reduction in time required to obtain this information, the technology has the potential to serve as a useful online state-of-health tool for PV panels/strings. To date, broadband signals have not been applied to online PV modules/strings to determine their impedance and, as a result, the state of health of the PV panel/string. Impedance information provides more varied information based on the condition of the PV panel/string as opposed to voltage and current information.;The technology has the following benefits: Fast response and quick characterization for rapid assessment of the state of health of PV panels. Response time is typically in the region of 1 second, making it suitable for online implementation as it limits the risk of transients having an impact on the results. Characterization of impedance response allows richer diagnostic information of a PV panel vs. conventional voltage and current measurements. The impedance values are also captured over a much wider frequency spectrum to allow for a wider breadth of fault conditions to be monitored and detected. The detailed parameter information allows for better management of PV panels by having more detailed data on the changing state of the PV panels whilst in operation. Better information allows system owners to optimize performance and reduce unnecessary maintenance expenditure. Diagnostic parameters can be trended over time to establish a baseline and monitor the baseline behaviour and compare them to each other. This also allows for prediction models for specific site level installations.;Monitor the state of health, or obtain diagnostic information of PV panels in an online system environment. Primary function: To provide rapid online state of health monitoring and early warning system for PV systems to optimise system electrical energy output and reduce system losses and maintenance. A secondary function could be for the technology to surface rich system data to improve system prediction and management models. The technology can be integrated into power converter systems such as inverters or smart power modules or intelligent control systems to enable these systems to have more diagnostic functionality and extract better information from assets (PV panels). This technology will have low hardware cost and will complement the current value chain.;7
UP;Fuel Cell Gas Diffusion Layer;The innovative Gas Diffusion Layer(GDL) enhances the performance of fuel cells by preventing water accumulation in the MEA;Energy;In the UCT invention, a microporous layer is inserted between the GDL and the catalyst which prevents the accumulation of water, has ridges that promote the flow of water and enhances the rigidity of the GDL, resulting in more uniform pressure distribution. The MPL is constructed to fill the pores of the GDL and it enhances the diffusion of gasses to the catalyst layer and the design can easily be modified and tailored for different operating conditions and applications. Specific details of tests and their outcomes are available in the patent specifications ‑that can be reached via the links below. Use of the metal GDL also led to the development of a suitable gasket, which has also been patented;A microporous layer (MPL) is inserted between the catalyst layer and the metal GDL. This, along with the fact that the GDL is more rigid provides the following benefits: prevention of the accumulation of water at the interface of the catalyst layer and the GDL enhanced diffusion of the gasses to the catalyst layer lining of the pores of the GDL with the MPL material further reduce water accumulation and the formation of large water droplets. more uniform pressure distribution from the bipolar plate onto the catalyst layer and reduced contact resistances the metal GDL is thinner than conventional GDLs, which may reduce the height of the fuel cell stack A specific configuration of holes in the GDL is provided to maximise the exposure to the channel area of the bipolar plate and the repeating pattern leads to better gas diffusion and more uniform gas supply to the catalyst layer. A pin can be used as an alignment aid and it is located in the active area of the MEA to ensure that there is no impact on the gasket and sealing system.;This metal gas diffusion layer (GDL) can be used in hydrogen fuel cells to enhance the performance of the membrane electrode assembly (MEA).;7
UP;"A SYSTEM FOR MONITORING
VENTILATED PATIENTS
REMOTELY";"A centralised monitoring system assisting medical personnel to monitor multiple
ventilated patients simultaneously";Healthcare;"We have developed a universal, non-invasive remote
condition monitoring system for ventilators.
It will allow an already stretched health system, with limited
human resources and a potential heterogeneous/ multibrand fleet of ventilators, the ability to monitor their working
(and the patients’ respiratory function) remotely. This will
allow fewer medical personnel to monitor more patients and
still provide proper care levels.
The non-invasive nature of our system makes it applicable
to all makes and models of ventilators (i.e. brand agnostic
plug and play), requiring no modification to existing
equipment.";"Cost effective, minimal hardware.
• Non-invasive.
• Enable medical personnel to manage multiple
patients simultaneously.
• Automatic parameter detection.
• Intelligent alarming.
• Monitoring can be done off-site.
• Cloud data storage and availability. ";The ability to remote monitor patients unlocks significant opportunities and value in ICUs during pandemics, and for the home care market;6
UP;"ALGORITHM TO DIGITALLY MONITOR
OVERLOADING OF TRUCKS WHILE
MINIMISING CONGESTION AT
WEIGH BRIDGES";Cost savings for toll road operator, and reduced waiting time for heavy vehicles.;Logistics;"This novel system allows for digital monitoring of payloads
on heavy vehicles and avoids repetitive, physical weighing
of compliant vehicles at static weigh bridges to check
overloading status.
This is achieved by digitally linking all weigh bridges and
existing or new cameras on a specific corridor. Once a truck
is weighed and photographed, the system digitally
recognizes any visual changes and undue delays, while the
vehicle is in transit.
Only exceptions (with visual changes, undue delay,
stoppages and detours) are referred to the static weigh
bridge for re-testing, saving time and money";"Cost effective, digital, centrally monitored law
enforcement.
• Easy to integrate into existing systems.
• Advances prolonged pavement surfaces.";"Ideal for management of toll roads and logistics
corridors, including self-policing industries such as
mining and forestry, especially in developing
countries.
Assist with management of tarred road
maintenance.";8
UP;GREEN COAL – ENVIRONMENTALLY FRIENDLY COAL BRIQUETTES WITH LOW SULPHER EMISSIONS;"Transforming coal fine waste into valuable energy with lower emissions and
higher efficiency.";Energy, climate;"Green Coal is environmentally friendly coal briquettes
produced from discard fine coal, bio-char material, and
proprietary chemical binders. The briquette reduces sulphur
emissions during combustion by approximately 50%, while
also increasing the burning effectiveness.
The bio-char addition to the formulation is considered a
renewable energy source and therefore carbon credits can be
claimed for the reduction in the CO2 production. The use of
Green Coal provides an efficient system for greener coal
gasification, which is ideal for use in electricity generation and
other industrial steam raising applications";"Waste to energy
• Lower emissions
• Higher efficiency
• Mechanically robust
• Water resistant";"South Africa produces 255 million tonnes of coal annually, of
which 60 million tonnes are not usable due to its perceived
poor quality. These 60 million tonnes of discarded coal also
contain at least 15 million tonnes of fine coal. This coal is not
used and is therefore stored on mine sites. The coal still has
a lot of energy (higher heating value of 16 MJ/kg) associated
with it but cannot be used in the current equipment. Therefore,
by using the fine coal during the production of Green Coal, the
unusable discarded coal can be processed into a usable
product. This allows mines to increase their coal reserves
through the utilization of discarded coal.
The end product will primarily be offered to industrial coal
users using boilers. Another market potential exists in
electricity generation, providing an alternative to conventional
coal in the power stations. ";8
